,Emotion,Clean_Text
17915,anger,wonder married people codescending extolling virtues single comfy marriages
16940,joy,  life sub par hate anyone
21669,sadness,u sleep   maybe fun pay u gum     flow #sleepwithjosh
31224,joy,long titty nipple ass bi**h
22204,joy,class canceled time work
7192,neutral,
20483,neutral,
16602,joy,bet 99% high schoolers secretly love drama guess rest wait year
21746,anger,  u wud tweet corner shit #grrr
23272,sadness,end school  function \celebrate\  leaving friends id known 12 years
14782,neutral,
19325,joy,“sometimes joy source smile smile source joy” ~ #quote thich nhat hanh
19093,sadness,wanna goo school :(  #hateschool #hatelife
32858,joy,#creation joy creation: know nature joy ~ veda upanishads #quote
11629,anger,actually mood fight (and sexy play fight either)
18322,anger,when yur dads anger yuu laugh
6421,fear,#love fear #life fear life parts #dead
32549,joy,birthday gifts kids: chewbacca bobblehead nerf thor hammer book rin tin tin
5524,joy,listening   explain book 101 dalmatians
13687,joy,isaiah bathroom 10 min singing hymns remixing jesus loves
5569,joy,taking xmas photos today family
253,joy,gotta dish detergent tub dat bubble action
25986,anger,’ want hear  room 
10381,anger,time ive working brother sleeping fat slob
15017,sadness,stupid vevo app load dx
20582,anger,hint exasperation voice 
22005,joy,yes im weird yes know it know im me 100% naterul crazy badass accept cause otherwisei dont care p xxx lt3lt3lt3
25109,fear,shiona s absolute horror  jake blamed 
5103,joy,stolen you walk away it choice picking up
22177,sadness,broke black friday
23337,anger,boyfriend came home late night told before
29374,fear,pop bottles cuz bottle emotions  scared
24997,sadness,awkward moment wetter shower :(
10652,neutral,brand 
18819,fear,night dreamt things looked like monsters trying kiss me
17697,joy,conditioning sound appealing today
24184,joy,dreams gone left give let broken praise turn hallelujah happens:)
8079,anger,saw man hitting child 2 years consideration simply child leaning window
16769,anger,walking street afternoon people street couple guys following ignoring them suddenly came started dirty language harrassing me got angry wanted strike them
291,sadness,pour moi car je nai pas beaucoup de followers :(
26667,anger,failed ssc exam
34113,joy,churchhhh exam stuff making 30 dang cookies
19566,sadness,father imprisoned burning house younger brother
33886,sadness,lost friend
19590,anger,saw person begging
10185,anger,lil sister got worst attitude quickest tempermanagement
22271,joy,elaine exclaimed  delight evident entered openplan living diningroom decorated fresh lemon blue fabric christina chosen 
7894,sadness,apparently bum fighting gone way dodo
15845,joy,receiving close friends form abroad seen years
10400,sadness,  wanted birthday beautiful face
18408,sadness,ipods dying :( means facebook twitter till im work
26228,anger,cool laptop charger longer charging im kill motherfucker hope finish need finish tonight
12408,fear,  think fear squirrels came seeing national lampoons xmas vacation childa squirrel attacks woman
3454,neutral,yes  
15339,joy,  pleasure meeting girly nowgo vanier f*amp%# ppl understand you lol #happy
3609,sadness,day teacher latin french died
11508,anger,lecture colleague know subject got nerves asking silly questions
2382,fear,ran parking car bicycle
10546,fear,car accident car total wipe (wipe out write off)
2981,joy,reflectin grace god life #peace #freefromworry
13070,fear,cant bed  looking window hoping car robbed  #vacation
16489,fear,friend find love her
31568,joy,headache and pains #sarcasm
22868,fear,experience fear people fighting social night relative involved fear greatly assaulted badly
4279,sadness,    shame realise system drains you #auspol #omel
33273,fear,quot  afraid tomorrow seen yesterday love today #lessquot
25449,fear,borrowed car supposed long journey hours later tyres burst middle town know do
10035,fear,kind work wanted  thought comprehensive schools spirit mild disquiet 
25477,fear,people think ive changed cause appeal grown   gtgtgtgt
4016,neutral,
28316,sadness,sad relations friends good
6394,sadness,transition nearly complete mirror mirror wall mother all
28711,neutral,sure 
25981,sadness,clergyman trains priests yesterday said saddened surprised sacked admitting believe god 
24974,joy,watched football match old friend performance team good team members spirit match excellent time goal scored felt excited
6119,joy,day consist consequences conclusionslaziness bring consequences planning diligence conclude day w
15823,neutral,think coming match 
17545,joy,received ue accredited totally unexpecting happy
28932,sadness,“    want convince self beautiful voice :)”
19616,joy,caged room books feeling blue good thing playing me hours:d
8496,joy,home 3 hours night week
15121,joy,got simple schedule weekexams day monday n thursdaysmdh
28375,fear,felt close saw man terrace flat
24423,joy,theres thing want right now sadly im instead im homework
32362,joy,okay  opening christmas bins decorations 3 amp 4 year old boys best mornings ever:) #wideeyedwonder
1949,joy,praying  loloooo dont stop  praying keeps happy  happy =  dont let ole devil drag u #uppp
28550,joy,met mother seen years
19909,fear,lock andand #laughter key heart ❤
28701,neutral,yeah 
14676,fear,        bob like head come saturday morning 
27463,anger,insulted parents believed people (those insulting me)
3515,sadness, naught offer   youth saying sorrow voice 
2722,sadness,partly colored hair black mother like reproached \subversive element\ later stated friends it resulted colouring hair
14488,joy,truly glad wonderful ahead peter 1:6 #turnbacktogod #jesustweeters
17218,joy,xmas jumper party minus xmas jumper compensating dress glitzy compatriots required wear sunglasses
33951,fear,voice story duty silenced fear misconception stand strong tides
25291,joy,began date boy till now 16 months ago
1246,fear,dismayed  circumstances  gabriel ride moor street company young monk 
10142,joy,deep sleeper iphone alarm sucks woke late 2nd day #late3clads
23270,joy,papers class damn day  wednesday amp havent started  
6266,joy,pumpkin pie breakfast turkey amp mashed potatoes amp green bean casserole lunch planning leftovers dinner
14915,anger,1940s wives bitterly resentful fact husbands realise needed leisure 
22672,joy,loaned book   night means im reading 100 pages tomorrow #ohwell
20484,sadness,cared horse 2 years day sold cried days sad
12705,fear,night
13957,anger,saw big man hit one anything
8887,sadness,  damn dude #physicalpainsadness #xadid end gotta head amp on
27290,joy,daily freak out hours early
30691,fear,aftermath war government said concerned turkey s increasingly prominent international role 
26146,joy,sleeping pattern messed up tomorrow morning interesting
13592,sadness,yeovil town captain mark shail heartbroken night rash moment cost chance playing dream fa cup tie arsenal 
3189,anger,thank god gym let tonight
9114,joy,getting university entrance accredited arriving home boarding school accrediting leave
22423,sadness,parents experience deep pain despair teenage children 
16317,fear,hurts  hate going 
21319,sadness,hate shakespear life difficult me
16795,joy,  cant friends night dull morning
6809,joy,audiences thrilled  box office cash registers jingled careers 
2970,joy,home tn week school staring face
7457,joy,tired day cant sleep night
11115,joy,  ive heard probably 10 christmas songs radio remind you change instantly
32229,joy, pleased lived sam born 
19136,joy,hard start studying oh ya packet notes 20 pages typed
2405,joy,  hacienda treedivision
34202,anger,michael stein trying unsuccessfully calm irate customer arguing bill 
23531,anger,big family grandmothers funeral met everybody pretended mourning reality like fashionshow: everybody wanted himself
12165,anger,felt anger person told bad things absence
2672,joy,u said that tweetbitched u out rt   shit pants pure 100% gravy
13241,fear, m particularly worried players nt score  nt stroll 
30914,sadness,gosh miss football much
8797,joy,country ski championship
326,joy,sore throat amp feel sick stomach
11850,sadness,quotis easier surrender time dance alone hand waving freequot ~elizabethtown
21506,neutral, coffee 
22719,joy,annoying moment realize left bought targetat target
34453,sadness,  u cld list follow alot people yeh im sure u benefit rt universal lt3
15945,fear,  sadly im train home time hook marantz material ive got days
26979,joy,time year original art sell ill likely etsy shop tomorrow
11980,anger,little problems bad hell lol grew outta shit doeuntil #pissed fareal
5838,joy,mungkin perlu buat twitter penuh news feed aku dengan status dia
18369,joy,official jan heading ecuador   firstclass development work
6679,fear,fear hurt relationship usually causes stay single fear getting attached person
8169,neutral,got 
12067,joy,dads blaring christmas music car
12089,sadness,father said :  devastated  intend restore church glory 
15553,joy,break wonderful aroma smelled remember amp breathe again #ljb
1292,joy,im twitter church  quit condemning yourself speak #love #jesus thing turn around
507,joy,gave notice vacate apt morn looking fwd telling relatives single poss homeless
15756,neutral,
34049,anger,day hall try beat fuck bitches walk
12250,anger,assault serve unleash pent embattled #nation #usa
32576,sadness,got package parents small note enclosed
15893,joy,* omnic looks 336k link looks * mercury cuddles cable modem (=:] #instantfollowback
4489,joy,years second semester results came  ecstatic
725,sadness,  tutta quella fantasia nel nuovo flyer farina di quale sacco
13135,sadness,watching football game reminds time father alive watched football games tv together
12058,joy,went sleep feeling like shit woke feeling like shit
5237,sadness,mother proved suffer disease
8856,fear,voted quotyesquot maintaining current gun laws: guns sold trigger locks
25998,joy,beautiful ceremony delight todd s face wheeled close altar receive eucharist arms outstretched 
10909,neutral,
17705,neutral,like 
26319,fear,flew athens copenhagen holiday plane caught storm began shake thouhght going crash
2008,sadness,feel like bedroom makes hate life know #unproductivity
28908,fear,quot  afraid tomorrow seen yesterday love today #lessquot
3248,joy,spontaneous picnic sister friend children  great
26991,anger,laughed  feel offended 
14988,sadness,ripped heart out ripped soul too #neverforgiven
24970,joy,wanna bedd ): atleast sleep tomorrow  cant bc practice 8 morning 
22174,neutral,’ defender  ’ lot fun  ’ able skate fast defense 
22179,neutral,yes  
7024,anger,thing  time hes promised 
8464,joy, mr booth showed delight distributing chocolate bars auction room patrons 
605,sadness,change clares character much hate now
29395,joy,hour nap time class
8883,anger,feel sorry you prick
5567,anger,prosecutors clearly miffed businessman changed statements given investigation case 
14799,fear,s concerned happen  
13649,joy,christmas music radio
9580,sadness,play allstar baseball 2004 2005 playstation 2 reyes mets there
25239,fear,ok donc je découvre man va wild et en plus cest le best of
21302,fear,surf ski large waves strong current separated ski began drift slowly (actually quickly) away sea direction drifting taking straight reef large sharks constantly caught (i help me)
29931,joy,wake early tomorrow 
34759,fear,mon collègue   se prend pour superman le poing en avant en roulant allongé sur sa chaise
31489,neutral,careful 
5699,joy,24 hrs employed actor  unemployed actor  employed actor  unemployed actor salesman  
22914,neutral,
4132,neutral,bingo 
32487,sadness,months ago wife gave birth twin sisters idea looking babies felt oppressed fact help caused grief me
6002,sadness,sorry  mr  polly 
20144,joy,anc  expressing delight decision  continued dissolution tricameral parliament  regarded essentially racist 
16569,anger,summer job looked particular learn own
6652,joy,felt suddenly happy alive 
30871,sadness,didnt blue mampms pack
21699,fear,fear makes strangers people friends shirley maclaine #friends
11881,anger,    hahah yes remember kick becca face
8539,joy,finals over glad little school break
33005,sadness,year worked summer holidays studied time examination repeat boyfriend went greece holiday month
8876,fear,people understand understand fearcopyrights kford
33561,sadness,ive got idea gonna fill void 25 league games plus cup games:/ #getwellsoonlucas
675,joy,okay im pretty tired now going home soon probs sleep till like 430 class 9  hahaha
4268,fear,looks backwards looks #faith looks forward~ elynnharris
5809,sadness,nt word sympathy offer ease sorrow loved lost 
17018,sadness,awkward moment fat guy cockblocks away hot guy #shuttleride
23902,joy,working 12 hours today #makingbank
31546,sadness,exam failed
14459,joy,joy draw water wells salvation #jesus
24932,anger,hardly headhunter s fault  candidate naturally feel annoyance anger expectations raised dashed  explanation 
30125,anger,worst setting desktop house know people modem not fail
34142,sadness,awkward moment u drop fudgesicle stairs
28816,joy, think  nt   said delighted smile 
3193,joy,husband suddenly came new job brought flowers cake him
20069,joy,community responsibility workshop
19985,joy,hotdesking means learning different parts gla want know
30595,fear,deepest inadequate powerful measure
5385,neutral,fair  straight  bully 
6462,joy,want wwe tribute troops listen special guests nickelback #tistheseason
33147,sadness,think short time live relate periods life think use short time
25857,joy,3 friends los tin week
24053,joy,thank coming  im glad liked 
4480,joy,community christmas better real thing
13481,neutral,failed 
5854,fear,oh  dreadful  ’ sorry 
19593,fear,swift  connection cosmetics prostitution  carefully assembled exterior conceals physical horror moral contamination 
17441,fear,jogging forest central park area saw man hiding tree got frigthened turned ran forest
17717,anger,school write essay wrong do wrote essay mistreated got saturday morning detention kids up
28996,joy,parents girlfriend gave permission spend holiday together
24669,anger,sister took things asked permission first
11693,sadness,good morning text
34517,fear,little maureen agitated  nice speech 
21177,fear,sucks  hate buying lingerie  okay  find  alright  fine  oh   ’ come  ’ come 
6092,joy,sounds good  
3190,sadness,refused  feel saddened  disappointed  inconvenienced  selfconcept shattered 
24625,joy,jakarta quotmagical electroquot djs:   #christwist #khalid amp magician master daniel gl: #danes  
19758,joy,far tired sit doctos waiting room afternoon
26196,fear,reaction courage decision
8593,sadness,sounded sad 
27310,anger,looks offended tell perceived man s man 
22814,fear,economists feel deep disquiet use food grains produce motor spirit 
17848,joy,loved seeing   tonight great surprise cant believe cried loser lol day interviews tomorrow
11032,anger,m surprised s feeling peeved 
16847,joy,considering skint ill shit loads work do think saturday night planned
15929,fear,dear herald sun boat people quotflooding suburbsquot 100 month aus wide drip ocean
27935,joy,passed exam
13757,neutral,feed 
30290,joy,getting medicine feel same
6043,sadness,read 100 issues ultimate xmen man series cut short what ultimatum screwed guys over
24603,fear,  tells weve sacrificed others tells time 2 worry future #xa#xaluke 9:3
12975,sadness,gradmother died felt sad  feeling started worse while
8577,joy,pretty w mind ltltlt
29159,neutral, like  think goes 8 generations far 
27954,sadness,daughters indoor soccer opponent show dads role opposing team suffer humiliating 75 loss 7th grade girls
16515,anger,rage quit curse you ipod
29702,sadness,uncle retired worked hard life got cerebral hemorrhage
18112,sadness,“  ya aprendi la leccion dormire con mi ipod nunca mas #leccion” //es en serio estefa
24844,neutral,cat 
16290,neutral, air line lost luggage return flight lost carry bag tackling officers charge  left airport hours later expected caught traffic jam  finally got home  totally exhausted  found elevator service blackout 
31808,fear,day like game factor
26341,joy,passed driving test failures
7839,anger,matter quotawesomequot save bother sending shitty sales pitch
29645,neutral,football player 
17360,neutral,2 months 
11861,neutral,
509,joy,blackberry tom :d woo :$
14327,sadness, fat horrible fair
27222,sadness,taking theme great rivers world  ganges  jordan  mississippi  clyde  course boyne  weaves tapestry evoking sorrow joy 
29852,sadness,meet girl discotheque pretty happy turn up thank god friends able good time
10079,anger,miss train late wait half hour one
10622,fear,aston villa great run  hold particular horrors norwich players 
14110,joy,nows time night entire family drunk
33469,fear,nervous horse riding now resolution list 4yrs ago im going pretty chuffed um
6501,joy,oh love working homework til 11 oclock night
15841,joy,waking realising hangover thought running fast 12km found #chirunning
29280,neutral,
8553,sadness,happy thanksgiving americans im canadian im gonna chill eat feast
13361,sadness,poor jimmie copper know tweet
1671,joy,sharting great expectations today
24756,joy,man happy time teach man love eternity #goodsaturday
34513,sadness,somebodys 22 year old son killed morning
1012,sadness,skip gym today
23319,joy,  good hard find good looking person great personality coming soon :)
19915,sadness,  excuse me kurt know twitter seen lately
34675,sadness,twitter blackberry ugly :l
25826,joy,eating candy cane
25973,anger,keeping distracted helps long #stagesofloss
1744,anger,noon time actually got sorted  annoyance lady public relations company hired 
6518,joy,  thanks choosing message yesterdays winner :d chuffed xx
4357,sadness,
28108,joy,nice tie wearing 
34360,joy,marchers passed city s overhead railway  trains hooted solidarity  crowd s delight 
16937,neutral,ok 
31829,anger,moment time decision vent anger 
12108,sadness,min tey lesa tweets di mas cu un ora bieuw paso un par di hnd ta pp di min wake e episode ainda
9706,joy,admitted university
27313,joy,tell truth  nt pleased russell sitting coach 
9384,anger,plummer wanted know  note exasperation voice 
29430,fear,perverted #faith ability fear proof ability #believe
19781,neutral,excuse mewhere register 
23015,anger,seriously forgetting tweet hard task do mother god #goddamn
11390,sadness,u continue speak jepthe u longer speak 
15733,joy,happy thanksgiving dear tweethearts im truly thankful you #friends #family #blessings #happiness
14778,sadness,question century mcdonalds stop making breakfast 10:30am
22882,joy,happy baby cry easily upset 
23378,sadness,ashes ashes dust dust 
13990,anger, boyfriend supposed night  
29814,joy,looks like im making trip mr gary balls room tomorrow morning help
7045,sadness,comes close turn salty snacks british fashion mags comfort journey home
11481,joy,shopping online new boots merry christmas me
24557,sadness,like holidays miss parents together
24172,joy,look like ive attacked drunk deer today
20121,anger,disco evening pleasant despite knowing why angry companion let feel bad humour hide feelings
16086,fear,use sites  hey  lets check flea market later 
4456,sadness,  thanks think puck eye means probably stay clear garden
28018,fear,word up rev rt   afraid tomorrow seen yesterday love today #less
30031,sadness,thing makes feel better getting knocked bayern beat city
8352,fear,tears hold value drop single thing showed and ill standing puddle 
18699,anger,permission son popcorn coming school consequences spoilt kettle chaos kitchen happened hot grease 
18086,sadness,received letter friends live madrid telling come holiday arranged them
28678,joy,got mad upset sooooo long
25086,sadness,want cave hidejust thinking it miss me think
7932,joy,hour mom annoying me
17061,sadness,received midterm exam paper major subjects found failed it
9301,joy,love christmas movies watching grinch stole christmas yay #whereareyouchristmas
9552,fear,forever til person gets confronts til badder comes along
8548,joy,felt great sometime sheer inner being ❤
12753,neutral,right 
33438,anger,went school library asked book librarian told such colleague asked gave him
24117,sadness,boy albreezy drunk fuck right rotflmbao
27109,anger,  happenned minutes ago showing mom jacket online sold
10442,joy,shedding old skin painful needed reveal new beauty underneath
22098,neutral,yes 
34733,fear,ba results come
21721,sadness,imagine anguish people going 
17389,joy,taking subway today
8698,joy,smiled raised amused brows stories tumbled fergus s progress 
4877,joy,let steal rise amp shine turkey time
17364,anger,feeling u u wanna punch wall
32082,fear,morden warfare rt   juggernaut: literal metaphorical force regarded mercilessly destructive unstoppable
30689,fear,  clouds ur judgement #personal amp #business matters confront amp avoid
32148,anger,insulting letter father
7130,fear,years protected seed time beautiful flower~sc paul
21018,fear,watching winnie pooh baby sisteranyone knows understands big deal
30608,fear,gonna lie want broken heart
5366,joy,reminder people wish be inspire shine glow
30440,joy,legends float free time carrying hopes amp #celebration
10530,joy,econ class amp going fail beckleys class miserably
9489,joy,procrastinated 5 days memorize script write paper finish homework late vid class
32659,neutral,sure  time 
4372,anger,invited friends together girls kept talking boys chatting etc bacame sick it
22387,anger,  phone dies right middle breakdown 
18059,joy,packed thing todays trip im leaving 11am
18018,sadness,1983 results university entrance exam poor  far expected thought accepted university
8060,joy,kids christmas event no 3 happening today drink one
17710,joy,united losingrt feeling mutual
11718,joy,christmas tree hunting fam
27643,joy,received acceptance form second year university
25146,fear,scared stiff giving performance 
13912,sadness,able watch home   tonight guess ill watch :(
9477,anger,forced telephone company bill concerning disconnected phone belonging landlord bill months overdue phone intention phone reconnected
21836,anger,said  anger face saw think owed reply 
33389,joy, ’ mean boast designs colleagues trying copy new apartments  look  making photos designed kitchen 
26399,anger,car suddenly broke 
3207,joy,guard hearts were unable let #love reach us open amp trust #inspire #quote
32766,joy,imagining undercurrent nostalgia  told looked beth s flushed  excited face 
3630,anger,disliked intimacy showed  resentful memories shared  felt excluded 
8317,neutral,eh  
17345,fear,hate dentist  thats heading to wish strike lol #brokentooth
32221,anger,  christ christmas   blue hot chocolate
4182,sadness,  unfortunately no long drive day :(
2609,joy,  apparent mums face moving technology amazing things
748,fear,nearly knocked cycling
15662,joy,find thinking lord yes #satisfies :)
34203,joy,falling asleep  mcleish amused bruce davidson s hopeful  proprietorial air 
18145,joy,want imagine sounds moves ive made
29535,anger, getting damn machine   said exasperation 
13775,sadness,  im huge fan youand follow me
9603,fear,knowing factor os coming makes entire night #:)
27319,sadness,reallyreallyreally need read dear jane austens novels unfortunatelyi reading book uni
18780,fear,principle comes important principle perfect casts fear #jesustweeters #jesus
26037,anger,yes  joined group bus tour morning  promised journey 3 hours visit 15 sightseeing spots 
21673,sadness,raleighs more fondly recall nights began there
7322,joy,applause rang  twirled acknowledge demure delight  clapping barman  crushed ample bosom barman s wife 
5151,sadness,separated girlfriend year birthday present mailbox spent days choosing suitable present her waited days reply her received thankyou card mailbox card name words thankyou signature sad then
21209,sadness,heart broke little found marcus collins gay
32296,joy,time turn wonderful snow #shootmenow #fb
32178,neutral,um  lets  im kansas originally  quieter peaceful place  thats sure 
15492,sadness,ive sat listening sheeran past hour bordering
11855,joy,amazing sermon ed bacon @ saints pasadena wonderful service
24615,joy,thats great   wed better seats  start 
31046,fear,love read hate read loud
19404,joy,professor announces home exam standing ovation follows
1983,fear,ahh legit crying half time way states soooo bridges :( omgg
15502,anger,ive listened drop world times im pretty sure dog knows lyrics
26299,neutral,hi  betty 
15594,neutral,
17279,joy,fuck works thanksgiving oh yeah do
6192,joy,going glued computer like 10 hrs cuz group shit 
29149,sadness,hello world im work now husband consumed coke zero #amsleepy
9475,joy,great  got weeks vacation thailand 
22892,anger,mrs friar looked offended continued 
4124,joy,shall oclock 
14854,neutral,hear bought new house northern suburbs 
5873,fear,“  afraid tomorrow seen yesterday love today #less”
8590,sadness,fiancts family adopting 5 years old boy felt close felt before time mother demanded care kid obliged send back
15027,sadness,  leave telling goodbye :(
23128,joy,6 working days left
17409,joy,boy admiring asked him
22510,fear,quot  afraid tomorrow seen yesterday love today #lessquot
33824,joy,decorating holidays listening christmas music
33682,joy,qualified form i pupils qualified form year
22855,anger,showed anger public virtually ignoring charles 
3580,sadness,passing away father
11149,sadness,currently eating worse oatmeal ever #fb
14697,fear,came know exams successive days little time (about 910 hours) study between
5758,sadness,    jealousy playing near rest year :/
13375,anger,tabitha campbellblack livid bag bailey s performance mix horse feed tshirt picture polo pony 
15288,anger,fuck majority people roam earth wanna punch wall
29893,joy,joy fear share pathway brain exist time other u choose  
6782,anger,waited replacement phone delivered work
7562,fear,walk home dark time
10772,joy,study room time
14795,sadness,said bye girls august spending 3 months mentor
32252,neutral,
17656,fear,tyme wen ppl cum alive n mi nicki minaj voice
26193,neutral,
20391,joy,delighted photograph staff department  published january/february issue wimpey news 
13255,sadness,dejected david mellor  royal bank  told magazine doctor :  led believe nt appropriate venue bank representative  
31563,anger, feel peeved    
29346,fear,simply   afraid tomorrow seen yesterday love today #lessquot
28259,fear,walked main street auckland 10 oclock night expected active people gangs fast cars etc thought actually quiet oppressive walked half mile bought drink way
32191,anger,come  liz  openminded  look eyes  puffy  eye bags  dark loose lines circles  hope surgery wipe tired feelings 
29802,joy,got today hear wheelie bin blown street guess bit windy oh raining
24922,anger,friends betrayed friendship
18826,joy,year 12 starts tomorrow night wont sort homework year
11910,fear,helpline set anxious parents 
27097,joy,person rarely selfish multiplies :)
32270,neutral,hi  bob 
4596,joy,finished exhausting assignment yet intensive lit review 10 primary sources pfps rehab feel like passing out
1546,joy,thank god car fixed public transports shit packed stinking trains freezing cold dark damp bloke heavily snoring
31474,joy,present sorrow chief
11673,fear,finding health condition attending university lectures
28536,sadness,yeah  boring  id read exciting 
7882,joy,tomorrow afternoon 
22101,anger,teacher prohibit students competition soab
7500,anger,  realz nearly thrown mac window multiple times today realized like best friend
24097,anger,nearby end year wife car ride appears vehicle driven drunk driver provokes accident
22436,neutral,ok 
11901,joy,yesyou look smart today 
10806,joy,annoyed tired homework bad day
22776,anger,hafta wait year 2 woooow bullshit
26641,anger,’ doomed 
32796,joy,alright im tweeting marcel :) follow   surprise hoes :)
27659,neutral,yes  
18073,joy,  love standing bank 45 mins waiting seen
17575,sadness,britt heartbroken eightyear marriage toyboy husband  slim  jim mcdonnell  31  end divorce 
17410,fear,tero followed distance  watching new friend sorrowful anxious eyes 
18965,anger,losing pen lid going mad trying find
15417,sadness,sabres lose tonight mark worst weeks buffalo sports history  
27851,fear,going knock pedestrian car
1592,joy,open good life   #faith
15773,joy,tummies memories made bundled cousins watching christmas movies absolutely love holidays
